question_no,type,category,tags,source_ref,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
107,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-59-v2,2024-gakka-59,"貸家建付地の相続税評価額は、その自用地としての価額が6,000万円、借地権割合が60％、借家権割合が30％、賃貸割合が100％である場合、 （   ）となる。",,,,,,"3,600万円","4,920万円","6,000万円",,2,"正解は2です。6,000万円×(1－60％×30％×100％)＝6,000万円×82％＝4,920万円です。",2024年学科第59問の2問目の派生。自用地価額を入れ替えた貸家建付地評価の演習問題です。,"貸家建付地＝自用地価額×(1－借地権割合×借家権割合×賃貸割合)。6,000×0.82＝4,920万円です。","1:3,600万円は自用地価額に借地権割合60％だけを掛けた誤りです。貸家建付地は借地権・借家権・賃貸割合の3つを掛け合わせた割合を控除します。6,000万円×(1－60％×30％×100％)＝4,920万円が正しい計算です。;3:6,000万円は減額前の自用地価額そのものです。貸家建付地には借地権・借家権による減額があり、賃貸割合100％の場合は6,000万円×82％＝4,920万円が評価額となります。",貸家建付地＝自用地価額×(1－借地権割合×借家権割合×賃貸割合)。3要素を掛けてから控除すること。
108,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-49-v2,2026-gakka-49,"住宅ローンを利用して認定長期優良住宅を新築し、新たに所得税における住宅借入金等特別控除の適用を受ける場合、住宅借入金の年末残高が1,800万円であり、控除率が0.7％であるとき、控除額は（   ）である。",,,,,,12.6万円,18.0万円,126万円,,1,"正解は1です。控除額＝住宅借入金の年末残高×控除率＝1,800万円×0.7％＝12.6万円です。",2026年学科第49問の2問目の派生。年末残高から住宅借入金等特別控除額を計算する演習問題です。,"1,800万円×0.7％＝12.6万円。0.7％は100で割って0.007を掛けるか、0.7％として直接掛け算します。","2:18.0万円は1,800万円×1.0％など、控除率を誤った場合の値です。認定長期優良住宅の控除率は0.7％であり、1,800万円×0.7％＝12.6万円が正しい控除額です。残高と控除率の掛け算を確認しましょう。;3:126万円は1,800万円×7％など、パーセントの扱いを誤った場合の値です。控除率は0.7％であり、100で割ってから掛けるか、0.7％として計算します。7％と0.7％の取り違えに注意してください。",住宅借入金等特別控除額＝年末残高×控除率。認定長期優良住宅の控除率は0.7％。
109,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-29-v5,2024-gakka-29,Ｊさんの法定相続人は配偶者と子1人（計2人）である場合、相続税の基礎控除額は、 （   ）である。,,,,,,"3,600万円","4,200万円","4,800万円",,2,"正解は2です。基礎控除額＝3,000万円＋600万円×法定相続人の数＝3,000万円＋600万円×2人＝4,200万円です。",2024年学科第29問（相続税の基礎控除）の5問目の派生。法定相続人2人で計算する演習問題です。,"3,000万円＋600万円×2人＝4,200万円。法定相続人の数に600万円を掛けて3,000万円に加算します。","1:3,600万円は3,000万円＋600万円×1人など、法定相続人の数を誤った場合の値です。本問は配偶者と子1人で計2人なので、3,000万円＋600万円×2＝4,200万円が基礎控除額です。;3:4,800万円は3,000万円＋600万円×3人の計算結果です。法定相続人は配偶者と子1人の2人なので、3,000万円＋1,200万円＝4,200万円が正しい基礎控除額となります。人数の数え間違いに注意してください。","相続税の基礎控除＝3,000万円＋600万円×法定相続人の数。人数の数え間違いに注意。"
110,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-12-v4,2024-gakka-12,"Ｋ社の株価が1,760円、１株当たり純資産（自己資本）が440円である場合、Ｋ社のＰＢＲ（株価純資産倍率）は、 （   ）である。",,,,,,2.0倍,4.0倍,1.76倍,,2,"正解は2です。PBR＝1,760円÷440円＝4.0倍です。株価を1株当たり純資産で割ります。",2024年学科第12問（PBR）の4問目の派生。株価と純資産の数値を入れ替えた演習問題です。,"PBR＝1,760円÷440円＝4.0倍。株価を1株当たり純資産（自己資本）で割ります。","1:2.0倍は純資産の2倍で割るなど、計算式を誤った場合の値です。PBRは株価÷純資産であり、1,760円÷440円＝4.0倍が正しい計算です。純利益はPERの計算に使う数値です。;3:1.76倍は株価の数値（1,760円）をそのまま倍率と混同した誤りです。PBRは株価を純資産で割った商であり、1,760÷440＝4.0倍が正しい計算です。PERやROEとは公式が異なる点に注意してください。",PBR＝株価÷純資産。第67問・第79問と同型。数値が変わっても公式は同じです。
111,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-43-v6,2024-gakka-43,Ａ資産の期待収益率が7.0％、Ｂ資産の期待収益率が3.0％の場合に、Ａ資産を40％、Ｂ資産を60％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,4.6％,10.0％,7.0％,,1,正解は1です。Ａ資産7.0％×40％＋Ｂ資産3.0％×60％＝2.8％＋1.8％＝4.6％です。,2024年学科第43問の6問目の派生。収益率の差が大きい2資産の加重平均の演習問題です。,7.0×0.4＋3.0×0.6＝4.6％。AとBの比率と収益率の両方を掛けて合計する加重平均です。,2:10.0％は7.0％と3.0％を足した値です。期待収益率は合計ではなく、各資産の期待収益率に組入比率を掛けて合計します。40％と60％を掛けたうえで足し合わせ、4.6％になることを確認してください。;3:7.0％はＡ資産の期待収益率そのものです。ポートフォリオはＢ資産も60％組み入れているため、Ａ資産の収益率だけでは全体の期待収益率は表せません。加重平均で4.6％になります。,ポートフォリオ期待収益率＝Σ(各資産の期待収益率×組入比率)。単純平均や片方の資産だけの値と混同しないこと。
112,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-42-v4,2025-gakka-42,"Ｓ社の株価が1,260円、１株当たり純利益が91円、１株当たり純資産（自己資本）が700円である場合、Ｓ社のＲＯＥは、 （   ）である。",,,,,,7.0％,13％,12.6倍,,2,"正解は2です。ROE＝91円÷700円×100＝13％です。株価1,260円はPERやPBRの計算に使う数値で、ROEには使いません。",2025年学科第42問の4問目の派生。数値を入れ替えたROEの演習問題です。,ROE＝91円÷700円×100＝13％。分子は純利益、分母は自己資本（純資産）であり、株価は使いません。,"1:7.0％は純利益を株価で割った値など、ROEの定義と異なる計算から導かれます。ROEは自己資本に対する収益性を示し、株価1,260円ではなく純資産700円を分母にします。91÷700×100＝13％が正しい計算です。;3:12.6倍はPERのように「倍」で表す指標と混同した誤りです。ROEは％で表す自己資本利益率であり、91÷700×100＝13％が正しい計算です。倍率とパーセントの単位の取り違えに注意してください。",ROEは「純利益÷純資産×100」。株価が文中に出てきてもROEでは使わない、という引っかけに注意。
113,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v11,2026-gakka-11,表面利率（クーポンレート）3.2％、残存期間2年の固定利付債券を額面100円当たり103円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第3位を四捨五入している。,,,,,,1.65％,3.20％,3.50％,,1,正解は1です。{3.2円＋(100円－103円)÷2年}÷103円×100＝約1.650％となり、小数点以下第3位を四捨五入して1.65％です。,2026年学科第11問の11問目の派生。残存2年・プレミアム購入の債券最終利回りの演習問題です。,{3.2＋(100－103)÷2}÷103×100≒1.650％→1.65％。残存期間が短いと償還差損の影響が大きくなります。,2:3.20％は表面利率そのもので、購入価格103円が額面と異なる場合の償還差損を反映していません。最終利回りは購入価格103円を分母にし、{3.2＋(100－103)÷2}÷103×100で計算します。;3:3.50％は償還差損の按分を誤った場合や、分母に額面100円を使った誤りで出やすい値です。式どおり計算すると1.650％となり、第3位を四捨五入して1.65％が正しい最終利回りです。,最終利回り＝{表面利率＋(額面－購入価格)÷残存期間}÷購入価格×100。プレミアム購入では表面利率より低下。
114,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-46-v6,2026-gakka-46,"給与所得者が29年間勤務した会社を定年退職し、退職金3,500万円の支給を受けた場合、所得税における退職所得の金額の計算上、退職所得控除額は（   ）となる。",,,,,,"800万円＋40万円×(29年－20年)＝1,160万円","800万円＋70万円×(29年－20年)＝1,430万円","70万円×29年＝2,030万円",,2,"正解は2です。勤続20年超は800万円＋70万円×(勤続年数－20年)です。29年なら800万円＋70万円×9年＝1,430万円です。",2026年学科第46問の6問目の派生。勤続29年の退職所得控除を計算する演習問題です。,"勤続29年は20年超のため、800万円＋70万円×(29－20)＝1,430万円。40万円の加算は20年以下の公式です。","1:1,160万円は20年超の場合に使う70万円ではなく40万円を掛けた誤りです。勤続20年超の退職所得控除は800万円＋70万円×(年数－20)で計算します。29年なら70万円×9年を加算して1,430万円です。;3:2,030万円は70万円×勤続年数という公式で、最低控除額800万円を考慮していません。20年超はまず800万円に加えて、超過年数に70万円を掛ける計算が正しい退職所得控除の求め方です。",退職所得控除：20年以下＝40万円×年数（最低80万円）、20年超＝800万円＋70万円×(年数－20)。
115,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2025-gakka-46-v6,2025-gakka-46,所得税における一時所得に係る総収入金額が400万円で、その収入を得るために支出した金額が150万円である場合、一時所得の金額は（ ① ）となり、そのうち総所得金額に算入される金額は（ ② ）となる。,,,,,,①200万円   ②100万円,①250万円   ②125万円,①350万円   ②175万円,,1,正解は1です。一時所得＝400万円－150万円－特別控除50万円＝200万円。総所得への算入はその2分の1で100万円です。,2025年学科第46問の6問目の派生。収入・支出の数値を入れ替えた一時所得の演習問題です。,一時所得＝総収入400万円－必要経費150万円－特別控除50万円＝200万円。算入額は200万円の2分の1＝100万円です。,2:250万円は特別控除50万円を差し引かず400万円－150万円だけで計算した誤りです。一時所得には50万円の特別控除があります。250万円の2分の1は125万円ですが、正しい一時所得は200万円です。;3:350万円は必要経費150万円を差し引かず400万円－50万円で計算した誤りです。一時所得は総収入から必要経費と特別控除50万円の両方を差し引きます。正しくは200万円・100万円です。,一時所得＝総収入－必要経費－50万円。総所得への算入はその2分の1。
116,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-26-v4,2024-gakka-26,暦年課税による贈与において、Ｎさんが同年中に父から150万円、母から80万円の贈与を受けた場合、贈与税の課税価格（基礎控除後）は、 （   ）である。,,,,,,120万円,110万円,230万円,,1,正解は1です。暦年課税の基礎控除は受贈者ごとに年間110万円です。贈与額合計230万円－110万円＝120万円が課税価格です。,2024年学科第26問の4問目の派生。贈与額を入れ替えた暦年贈与の課税価格の演習問題です。,贈与合計230万円から、受贈者1人あたりの基礎控除110万円を差し引き、課税価格は120万円です。,2:110万円は基礎控除額そのものです。課税価格は贈与額合計から基礎控除110万円を差し引いた後の金額であり、110万円は控除額であって課税価格ではありません。230万円－110万円＝120万円が正解です。;3:230万円は基礎控除を差し引く前の贈与額合計です。暦年課税では年間110万円の基礎控除を課税価格から控除してから税率を適用します。230万円－110万円＝120万円が課税価格となります。,暦年贈与の基礎控除＝受贈者1人につき年110万円。贈与者の数ではなく受贈者単位です。
117,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2026-gakka-59-v3,2026-gakka-59,"借地権（定期借地権等を除く）の目的となっている宅地の相続税評価額は、その自用地としての価額が2億5,000万円、借地権割合が65％である場合、原則として、 （   ）となる。",,,,,,"8,750万円","1億6,250万円","2億5,000万円",,1,"正解は1です。貸宅地の評価額＝自用地価額×(1－借地権割合)＝2億5,000万円×35％＝8,750万円です。",2026年学科第59問の3問目の派生。自用地価額と借地権割合を入れ替えた貸宅地評価の演習問題です。,"2億5,000万円×(1－65％)＝8,750万円。借地権割合65％なら、自用地価額の35％が評価額です。","2:1億6,250万円は自用地価額に借地権割合65％を掛けた誤りです。貸宅地は自用地価額×(1－借地権割合)で求め、2億5,000万円×35％＝8,750万円が正しい評価額です。割合の控除方向に注意してください。;3:2億5,000万円は自用地のままの評価額で、借地権の目的地としての減額を反映していません。借地権割合65％なら、自用地価額の35％である8,750万円が相続税評価額となります。",貸宅地＝自用地価額×(1－借地権割合)。第64問・第78問と同型で数値だけが異なります。
118,single,不動産,FP3級;学科;実践演習;三答択;source:2025-gakka-24-v3,2025-gakka-24,"個人が土地を譲渡したことによる譲渡所得の金額の計算において、譲渡収入金額が7,200万円であり、譲渡した土地の取得費が不明である場合、概算取得費として計上できる金額は、 （   ）である。",,,,,,360万円,720万円,"1,080万円",,1,"正解は1です。概算取得費は譲渡収入金額の5％です。7,200万円×5％＝360万円です。","2025年学科第24問の3問目の派生。譲渡収入金額を7,200万円に変更した演習問題です。","7,200万円×5％＝360万円。土地の取得費が不明な場合の概算取得費率は5％です。","2:720万円は7,200万円×10％など、概算取得費の率を誤った場合の値です。土地の取得費が不明な場合の概算取得費は、譲渡収入金額の5％相当額です。10％や15％と混同しないよう注意してください。;3:1,080万円は7,200万円×15％など、別の率を当てはめた誤りです。土地は5％が正しい概算取得費率であり、7,200万円×5％＝360万円が計上できる金額となります。",土地の概算取得費＝譲渡収入×5％。第30問・第36問・第89問と同型で数値だけが異なります。
119,single,ライフプランニングと資金計画,FP3級;学科;実践演習;三答択;source:2024-gakka-33-v2,2024-gakka-33,63歳０カ月で老齢基礎年金の繰上げ支給の請求をし、支給開始を54カ月繰り上げた場合、老齢基礎年金の減額率は（   ）となる。,,,,,,21.6％,24.0％,54.0％,,1,正解は1です。繰上げ受給の減額率は1カ月当たり0.4％です。54カ月繰り上げると0.4％×54カ月＝21.6％の減額となります。,2024年学科第33問の2問目の派生。繰上げ月数を54カ月に変更した演習問題です。,減額率＝0.4％×54カ月＝21.6％。繰上げは1カ月あたり0.4％ずつ減額されます。,2:24.0％は60カ月繰り上げた場合の減額率（0.4％×60カ月）です。本問は54カ月繰上げなので、0.4％×54＝21.6％が正しい減額率です。繰上げ月数を掛け算に反映させましょう。;3:54.0％は繰上げ月数54をそのままパーセントと混同した誤りです。減額率は1カ月0.4％で計算し、54カ月なら21.6％となります。月数と減額率の単位を区別してください。,老齢基礎年金の繰上げ減額＝0.4％×繰上げ月数。第86問（48カ月）と同型です。
120,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-58-v3,2024-gakka-58,"死亡したＤさんが所有していた上場株式Ｗを相続により取得した場合の１株当たりの相続税評価額は、下記の〈資料〉によれば、 （   ）である。

〈資料〉上場株式Ｗの価格
Ｄさんが死亡した月の前々月の毎日の最終価格の月平均額　：520円
Ｄさんが死亡した月の前月の毎日の最終価格の月平均額　　：590円
Ｄさんが死亡した月の毎日の最終価格の月平均額　　　　：615円
Ｄさんが死亡した日の最終価格　　　　　　　　　　　　：595円",,,,,,520円,590円,615円,,1,正解は1です。上場株式の相続税評価額は、死亡日の最終価格と3か月分の月平均額のうち最も低い価額で評価します。520円が最低です。,2024年学科第58問の3問目の派生。価格データを入れ替えた上場株式の相続税評価の演習問題です。,4つの価額（520・590・615・595円）のうち最も低い520円が評価額です。月平均と死亡日終値のいずれか最低を採用します。,2:590円は前月の月平均額ですが、評価は4つの候補のうち最も低い価額を採用します。前々月平均520円のほうが低いため、評価額は520円です。月平均だけを見て前月を選ぶのは誤りです。;3:615円は相続開始月の月平均額ですが、相続税評価では死亡日終値と3か月分の月平均のうち最低額を選びます。本問では前々月平均520円が最も低く、これが1株当たりの相続税評価額となります。,上場株式の相続税評価＝死亡日終値と3か月の月平均のうち最も低い価額。第56問・第97問と同型です。
121,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-43-v7,2024-gakka-43,Ａ資産の期待収益率が2.0％、Ｂ資産の期待収益率が9.0％の場合に、Ａ資産を15％、Ｂ資産を85％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,7.95％,11.0％,2.0％,,1,正解は1です。Ａ資産2.0％×15％＋Ｂ資産9.0％×85％＝0.3％＋7.65％＝7.95％です。,2024年学科第43問の7問目の派生。B資産の比率を高くしたポートフォリオ期待収益率の演習です。,2.0×0.15＋9.0×0.85＝7.95％。Bの比率が大きいほど、ポートフォリオ収益率はB寄りになります。,2:11.0％は2.0％と9.0％を足した値です。期待収益率は合計ではなく、各資産の期待収益率に組入比率を掛けて合計します。15％と85％を掛けたうえで足し合わせ、7.95％になることを確認してください。;3:2.0％はＡ資産の期待収益率そのものです。ポートフォリオはＢ資産も85％組み入れているため、Ａ資産の収益率だけでは全体の期待収益率は表せません。加重平均で7.95％になります。,ポートフォリオ期待収益率＝Σ(各資産の期待収益率×組入比率)。比率が大きい資産の収益率に引き寄せられます。
122,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-12-v8,2025-gakka-12,"Ａ社の株価が2,280円、１株当たり純利益が76円である場合、Ａ社のＰＥＲ（株価収益率）は、 （   ）である。",,,,,,20倍,30倍,76倍,,2,"正解は2です。PER＝2,280円÷76円＝30倍です。株価を1株当たり純利益で割ります。",2025年学科第12問の8問目の派生。PERを求める演習問題です。,"PER＝2,280円÷76円＝30倍。株価を1株当たり純利益で割ります。","1:20倍は純利益の2倍で割るなど、計算式を誤った場合の値です。PERは株価÷純利益であり、2,280円÷76円＝30倍が正しい計算です。純資産はPBRの計算に使う数値で、PERでは使いません。;3:76倍は純利益の数値（76円）をそのまま倍率と混同した誤りです。株価2,280円を純利益76円で割ると30倍になります。分子は株価、分母は純利益です。",PER＝株価÷純利益。ROEやPBRと分母が異なるので、指標ごとに分子・分母を整理して覚えましょう。
123,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v12,2026-gakka-11,表面利率（クーポンレート）1.2％、残存期間8年の固定利付債券を額面100円当たり97円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第3位を四捨五入している。,,,,,,1.62％,1.20％,1.80％,,1,正解は1です。{1.2円＋(100円－97円)÷8年}÷97円×100＝約1.624％となり、小数点以下第3位を四捨五入して1.62％です。,2026年学科第11問の12問目の派生。残存8年・ディスカウント購入の債券最終利回りの演習問題です。,{1.2＋(100－97)÷8}÷97×100≒1.624％→1.62％。購入価格が額面を下回ると償還差益が利回りを押し上げます。,2:1.20％は表面利率そのもので、購入価格97円が額面と異なる場合の償還差益を反映していません。最終利回りは購入価格97円を分母にし、{1.2＋(100－97)÷8}÷97×100で計算します。;3:1.80％は償還差益の按分を誤った場合や、分母に額面100円を使った誤りで出やすい値です。式どおり計算すると1.624％となり、第3位を四捨五入して1.62％が正しい最終利回りです。,最終利回り＝{表面利率＋(額面－購入価格)÷残存期間}÷購入価格×100。ディスカウント購入では表面利率より上昇。
124,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-46-v7,2026-gakka-46,"給与所得者が23年間勤務した会社を退職し、退職金2,000万円の支給を受けた場合、所得税における退職所得の金額の計算上、退職所得控除額は（   ）となる。",,,,,,40万円×23年＝920万円,"800万円＋70万円×(23年－20年)＝1,010万円","70万円×23年＝1,610万円",,1,正解は1です。勤続20年以下は40万円×勤続年数です。23年なら40万円×23年＝920万円です。,2026年学科第46問の7問目の派生。勤続20年以下の退職所得控除を計算する演習問題です。,勤続23年は20年以下のため、40万円×23年＝920万円。800万円＋70万円×(年数－20)は20年超の公式です。,"2:1,010万円は20年超の公式を23年に誤って適用した場合の値です。23年は20年以下に該当するため、40万円×23年＝920万円が退職所得控除額となります。年数と公式の対応を確認しましょう。;3:1,610万円は70万円×勤続年数という公式で、20年超の計算方法と混同した誤りです。23年は20年以下なので、40万円×23年＝920万円が正しい退職所得控除額の求め方です。",退職所得控除：20年以下＝40万円×年数（最低80万円）、20年超＝800万円＋70万円×(年数－20)。
125,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2025-gakka-46-v7,2025-gakka-46,所得税における一時所得に係る総収入金額が350万円で、その収入を得るために支出した金額が130万円である場合、一時所得の金額は（ ① ）となり、そのうち総所得金額に算入される金額は（ ② ）となる。,,,,,,①170万円   ② 85万円,①220万円   ②110万円,①300万円   ②150万円,,1,正解は1です。一時所得＝350万円－130万円－特別控除50万円＝170万円。総所得への算入はその2分の1で85万円です。,2025年学科第46問の7問目の派生。収入・支出の数値を入れ替えた一時所得の演習問題です。,一時所得＝総収入350万円－必要経費130万円－特別控除50万円＝170万円。算入額は170万円の2分の1＝85万円です。,2:220万円は特別控除50万円を差し引かず350万円－130万円だけで計算した誤りです。一時所得には50万円の特別控除があります。220万円の2分の1は110万円ですが、正しい一時所得は170万円です。;3:300万円は必要経費130万円を差し引かず350万円－50万円で計算した誤りです。一時所得は総収入から必要経費と特別控除50万円の両方を差し引きます。正しくは170万円・85万円です。,一時所得＝総収入－必要経費－50万円。総所得への算入はその2分の1。
126,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-26-v5,2024-gakka-26,暦年課税による贈与において、Ｏさんが同年中に父から130万円、母から110万円の贈与を受けた場合、贈与税の課税価格（基礎控除後）は、 （   ）である。,,,,,,130万円,110万円,240万円,,1,正解は1です。暦年課税の基礎控除は受贈者ごとに年間110万円です。贈与額合計240万円－110万円＝130万円が課税価格です。,2024年学科第26問の5問目の派生。贈与額を入れ替えた暦年贈与の課税価格の演習問題です。,贈与合計240万円から、受贈者1人あたりの基礎控除110万円を差し引き、課税価格は130万円です。,2:110万円は基礎控除額そのものです。課税価格は贈与額合計から基礎控除110万円を差し引いた後の金額であり、110万円は控除額であって課税価格ではありません。240万円－110万円＝130万円が正解です。;3:240万円は基礎控除を差し引く前の贈与額合計です。暦年課税では年間110万円の基礎控除を課税価格から控除してから税率を適用します。240万円－110万円＝130万円が課税価格となります。,暦年贈与の基礎控除＝受贈者1人につき年110万円。贈与者の数ではなく受贈者単位です。
127,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2025-gakka-59-v2,2025-gakka-59,"貸家の相続税評価額は、その家屋の固定資産税評価額が5,200万円、借地権割合が60％、借家権割合が30％、賃貸割合が100％である場合、原則として、 （   ）となる。",,,,,,"1,560万円","3,640万円","5,200万円",,2,"正解は2です。貸家の評価額＝5,200万円×(1－30％×100％)＝5,200万円×70％＝3,640万円です。借地権割合は使いません。",2025年学科第59問の2問目の派生。固定資産税評価額を入れ替えた貸家評価の演習問題です。,"貸家＝固定資産税評価額×(1－借家権割合×賃貸割合)。5,200×70％＝3,640万円。借地権割合は家屋評価では不要です。","1:1,560万円は借地権割合60％を掛けた誤りです。貸家の家屋評価では借地権割合は使わず、借家権割合と賃貸割合だけで減額します。5,200万円×(1－30％×100％)＝3,640万円が正しい計算です。;3:5,200万円は減額前の固定資産税評価額そのものです。貸家には借家権による減額があり、5,200万円×70％＝3,640万円が相続税評価額となります。建付地と家屋で使う割合が異なる点に注意してください。",貸家＝固定資産税評価額×(1－借家権割合×賃貸割合)。第58問と同型で数値だけが異なります。
128,single,ライフプランニングと資金計画,FP3級;学科;実践演習;三答択;source:2026-gakka-33-v2,2026-gakka-33,国民年金の付加保険料に係る保険料納付済期間が54カ月である者が、65歳から老齢基礎年金を受給する場合、付加年金の年額は、 （   ）である。,,,,,,"10,800円","21,600円","9,600円",,1,"正解は1です。付加年金の年額＝200円×付加保険料納付済期間の月数＝200円×54カ月＝10,800円です。",2026年学科第33問の2問目の派生。納付済期間54カ月から付加年金の年額を計算する演習問題です。,"200円×54カ月＝10,800円。付加年金は1納付月あたり年額200円が加算されます。","2:21,600円は200円の2倍を掛けた誤りや、付加保険料の月額400円を200円と混同した場合の値です。付加年金の年額は200円×納付月数であり、54カ月なら10,800円が正しい計算結果です。;3:9,600円は200円×48カ月の計算結果です。本問の納付済期間は54カ月なので、200円×54＝10,800円が付加年金の年額となります。月数の取り違えに注意してください。",付加年金年額＝200円×付加保険料納付済月数。第87問（42カ月）と同型です。
129,single,ライフプランニングと資金計画,FP3級;学科;実践演習;三答択;source:2025-gakka-33-v2,2025-gakka-33,65歳到達時に老齢基礎年金の受給資格期間を満たしている者が、69歳０カ月で老齢基礎年金の繰下げ支給の申出をし、支給開始を48カ月繰り下げた場合、老齢基礎年金の増額率は（   ）となる。,,,,,,28.0％,33.6％,48.0％,,2,正解は2です。繰下げ受給の増額率は1カ月当たり0.7％です。48カ月繰り下げると0.7％×48カ月＝33.6％の増額となります。,2025年学科第33問の2問目の派生。繰下げ月数を48カ月に変更した演習問題です。,増額率＝0.7％×48カ月＝33.6％。繰下げは1カ月あたり0.7％ずつ増額されます。,1:28.0％は0.7％×40カ月など、繰下げ月数を誤った場合の値です。本問は48カ月繰下げなので、0.7％×48＝33.6％が正しい増額率です。繰下げ月数を掛け算に反映させましょう。;3:48.0％は繰下げ月数48をそのままパーセントと混同した誤りです。増額率は1カ月0.7％で計算し、48カ月なら33.6％となります。月数と増額率の単位を区別してください。,老齢基礎年金の繰下げ増額＝0.7％×繰下げ月数。第96問（36カ月・25.2％）と同型です。
130,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-42-v5,2026-gakka-42,"下記の〈Ｈ社のデータ〉に基づいて計算したＨ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｈ社のデータ〉
株価　　　　　　：2,100円
１株当たり年間配当金：  63円
１株当たり純利益　： 105円",,,,,,①30％   ②６％,①50％   ②５％,①60％   ②３％,,3,"正解は3です。配当性向＝63円÷105円×100＝60％。配当利回り＝63円÷2,100円×100＝3％です。",2026年学科第42問の5問目の派生。株価・配当・利益を入れ替えた配当性向・配当利回りの演習問題です。,配当性向＝配当÷純利益×100＝60％。配当利回り＝配当÷株価×100＝3％。分母が純利益か株価かを区別します。,"1:30％は純利益の2倍で割るなど計算式を誤った場合の値です。配当性向は配当63円を純利益105円で割り60％になります。6％は株価ではなく純利益を分母にした誤りで、配当利回りの定義とは異なります。;2:50％と5％は別の数値セット（配当52.5円・株価1,050円など）の計算結果です。本問は配当63円・純利益105円・株価2,100円なので、配当性向60％・配当利回り3％が正しい組み合わせとなります。",配当性向＝配当÷純利益、配当利回り＝配当÷株価。第60問・第80問と同型で数値だけが異なります。
131,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-43-v8,2024-gakka-43,Ａ資産の期待収益率が8.0％、Ｂ資産の期待収益率が2.0％の場合に、Ａ資産を30％、Ｂ資産を70％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,3.8％,10.0％,8.0％,,1,正解は1です。Ａ資産8.0％×30％＋Ｂ資産2.0％×70％＝2.4％＋1.4％＝3.8％です。,2024年学科第43問の8問目の派生。A・Bの収益率差が大きいポートフォリオの加重平均の演習です。,8.0×0.3＋2.0×0.7＝3.8％。Bの比率が大きいほど、ポートフォリオ収益率はB寄りになります。,2:10.0％は8.0％と2.0％を足した値です。期待収益率は合計ではなく、各資産の期待収益率に組入比率を掛けて合計します。30％と70％を掛けたうえで足し合わせ、3.8％になることを確認してください。;3:8.0％はＡ資産の期待収益率そのものです。ポートフォリオはＢ資産も70％組み入れているため、Ａ資産の収益率だけでは全体の期待収益率は表せません。加重平均で3.8％になります。,ポートフォリオ期待収益率＝Σ(各資産の期待収益率×組入比率)。比率が大きい資産の収益率に引き寄せられます。
132,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-42-v5,2025-gakka-42,"Ｂ社の株価が1,430円、１株当たり純利益が88円、１株当たり純資産（自己資本）が550円である場合、Ｂ社のＲＯＥは、 （   ）である。",,,,,,6.2％,16％,14.3倍,,2,"正解は2です。ROE＝88円÷550円×100＝16％です。株価1,430円はPERやPBRの計算に使う数値で、ROEには使いません。",2025年学科第42問の5問目の派生。数値を入れ替えたROEの演習問題です。,ROE＝88円÷550円×100＝16％。分子は純利益、分母は自己資本（純資産）であり、株価は使いません。,"1:6.2％は純利益を株価で割った値など、ROEの定義と異なる計算から導かれます。ROEは自己資本に対する収益性を示し、株価1,430円ではなく純資産550円を分母にします。88÷550×100＝16％が正しい計算です。;3:14.3倍はPERのように「倍」で表す指標と混同した誤りです。ROEは％で表す自己資本利益率であり、88÷550×100＝16％が正しい計算です。倍率とパーセントの単位の取り違えに注意してください。",ROEは「純利益÷純資産×100」。株価が文中に出てきてもROEでは使わない、という引っかけに注意。
