term,category,tags,short_def,definition,related_terms,legal_basis,importance,explanation,article_title,article_lead,term_detail_body,exam_points,common_mistakes,memory_tip,example_question,example_answer,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer,diagram_id,slug,author_name,reviewer_name,fact_checked_at,primary_sources,content_status
個人年金保険,リスク管理,FP2級;用語,一定期間または生涯にわたり年金を受け取れる生命保険。老後資金の準備に使われる。,一定期間または生涯にわたり年金を受け取れる生命保険。老後資金の準備に使われる。,,,A,個人年金保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,個人年金保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
変額保険,リスク管理,FP2級;用語,保険料の一部を株式・債券等で運用し、運用実績に応じて保険金・解約返戻金が変動する保険。,保険料の一部を株式・債券等で運用し、運用実績に応じて保険金・解約返戻金が変動する保険。,,,B,変額保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,変額保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
解約返戻金,リスク管理,FP2級;用語,生命保険を途中で解約した際に戻ってくる金額。一般に払込保険料を下回る。,生命保険を途中で解約した際に戻ってくる金額。一般に払込保険料を下回る。,,,A,解約返戻金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,解約返戻金はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
損害保険,リスク管理,FP2級;用語,偶然の事故による財産上の損害を補償する保険。実損てん補が原則。,偶然の事故による財産上の損害を補償する保険。実損てん補が原則。,,,A,損害保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,損害保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
火災保険,リスク管理,FP2級;用語,建物・家財の火災・風災・水害等による損害を補償する保険。地震は対象外。,建物・家財の火災・風災・水害等による損害を補償する保険。地震は対象外。,,,A,火災保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,火災保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
地震保険,リスク管理,FP2級;用語,地震・噴火・津波による建物・家財の損害を補償する保険。火災保険に付帯して加入する。,地震・噴火・津波による建物・家財の損害を補償する保険。火災保険に付帯して加入する。,,,A,地震保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,地震保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
自動車保険,リスク管理,FP2級;用語,自動車事故による損害を補償する保険。自賠責保険（強制）と任意保険がある。,自動車事故による損害を補償する保険。自賠責保険（強制）と任意保険がある。,,,A,自動車保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,自動車保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
自賠責保険,リスク管理,FP2級;用語,すべての自動車・バイクに加入が義務付けられた強制保険。対人賠償のみを補償する。,すべての自動車・バイクに加入が義務付けられた強制保険。対人賠償のみを補償する。,,,A,自賠責保険が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,自賠責保険はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
生命保険料控除,リスク管理,FP2級;用語,生命保険・介護医療保険・個人年金保険の保険料を所得控除できる制度。,支払った生命保険料の一定額を所得控除できる制度（一般・介護医療・個人年金の3区分）。,,,A,生命保険料控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,生命保険料控除はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
地震保険料控除,リスク管理,FP2級;用語,地震保険料を所得控除できる制度。年間5万円を上限に全額控除。,地震保険料を所得控除できる制度。年間5万円を上限に全額控除。,,,B,地震保険料控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではリスク管理分野の計算・制度理解とセットで確認してください。,,,,地震保険料控除はリスク管理分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
金融商品,金融資産運用,FP2級;用語,お金を運用・調達するための商品の総称。預金・債券・株式・投資信託などがある。,お金を運用・調達するための商品の総称。預金・債券・株式・投資信託などがある。,,,A,金融商品が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,金融商品は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
単利,金融資産運用,FP2級;用語,元本にのみ利息が付く計算方法。,元本のみに利息がつく利息計算方法。,,,A,単利が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,単利は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
複利,金融資産運用,FP2級;用語,元本に加え、すでに付いた利息にも利息が付く計算方法。長期運用で効果が大きい。,元本に加え、すでに付いた利息にも利息が付く計算方法。長期運用で効果が大きい。,,,A,複利が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,複利は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
預金,金融資産運用,FP2級;用語,金融機関にお金を預ける金融商品。元本保証がある。,金融機関にお金を預ける金融商品。元本保証がある。,,,A,預金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,預金は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
普通預金,金融資産運用,FP2級;用語,いつでも出し入れ可能な流動性の高い預金。金利は低い。,いつでも自由に預け入れ・引き出しができる流動性の高い預金。,,,B,普通預金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,普通預金は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
定期預金,金融資産運用,FP2級;用語,一定期間引き出せない代わりに普通預金より高い金利が得られる預金。,一定期間預け入れを約束する代わりに普通預金より高金利が得られる預金。,,,A,定期預金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,定期預金は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
預金保険制度,金融資産運用,FP2級;用語,金融機関の破綻時に預金者を保護する制度。決済用預金は全額保護。,"金融機関が破綻した際に預金者を保護する制度（元本1,000万円と利息まで保護）。",,,A,預金保険制度が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,預金保険制度は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
債券,金融資産運用,FP2級;用語,国や企業が資金調達のために発行する借用証書。満期に額面金額が償還される。,国や企業が資金調達のために発行する借用証書。満期に額面金額が償還される。,,,A,債券が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,債券は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
国債,金融資産運用,FP2級;用語,国が発行する債券。個人向け国債は変動10年・固定5年・固定3年の3種類がある。,国が発行する債券。個人向け国債は変動10年・固定5年・固定3年の3種類がある。,,,A,国債が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,国債は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
社債,金融資産運用,FP2級;用語,企業が発行する債券。国債より一般に利回りが高いがリスクも高い。,企業が発行する債券。国債より一般に利回りが高いがリスクも高い。,,,A,社債が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,社債は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
利回り,金融資産運用,FP2級;用語,投資元本に対する年間収益（利子＋売却損益）の割合。,投資元本に対する年間収益（利子＋売却損益）の割合。,,,A,利回りが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,利回りは金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
表面利率（クーポンレート）,金融資産運用,FP2級;用語,債券の額面金額に対して毎年支払われる利率。,債券の額面金額に対して毎年支払われる利率。,,,B,表面利率（クーポンレート）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,表面利率（クーポンレート）は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
残存期間,金融資産運用,FP2級;用語,債券の現時点から満期日までの残りの期間。,債券の現時点から満期日までの残りの期間。,,,B,残存期間が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,残存期間は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
債券価格と金利の関係,金融資産運用,FP2級;用語,市場金利が上昇すると既存債券の価格は下落し、金利が低下すると価格は上昇する逆相関の関係。,市場金利が上昇すると既存債券の価格は下落し、金利が低下すると価格は上昇する逆相関の関係。,,,B,債券価格と金利の関係が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,債券価格と金利の関係は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
株式,金融資産運用,FP2級;用語,企業が発行する出資証券。株主は配当・議決権・残余財産分配請求権を持つ。,株式会社が資金調達のために発行する有価証券で、株主は会社の所有者の一員となる。,,,A,株式が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,株式は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
配当,金融資産運用,FP2級;用語,企業が利益の一部を株主に分配すること。,企業が利益の一部を株主に分配すること（配当金）。,,,A,配当が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,配当は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
PER（株価収益率）,金融資産運用,FP2級;用語,株価を1株当たり純利益で割った指標。株価の割高・割安の判断に使う。,株価を1株当たり純利益で割った指標。株価の割高・割安の判断に使う。,,,B,PER（株価収益率）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,PER（株価収益率）は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
PBR（株価純資産倍率）,金融資産運用,FP2級;用語,株価を1株当たり純資産で割った指標。1倍割れは解散価値を下回る状態。,株価÷1株当たり純資産で算出する指標（1倍を下回ると解散価値割れ）。,,,B,PBR（株価純資産倍率）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,PBR（株価純資産倍率）は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
配当利回り,金融資産運用,FP2級;用語,1株当たり配当金を株価で割った指標。株式投資の利回りの目安。,1株当たり配当金を株価で割った指標。株式投資の利回りの目安。,,,B,配当利回りが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,配当利回りは金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
投資信託,金融資産運用,FP2級;用語,多数の投資家から資金を集め、専門家が株式・債券等に分散投資する金融商品。,多数の投資家から資金を集め、専門家が株式・債券等に分散投資する金融商品。,,,A,投資信託が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,投資信託は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
基準価額,金融資産運用,FP2級;用語,投資信託の1口（または1万口）当たりの純資産価値。毎営業日算出される。,投資信託の1口（1万口）当たりの時価で、原則として毎営業日算出される。,,,A,基準価額が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,基準価額は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
信託報酬,金融資産運用,FP2級;用語,投資信託の運用・管理に対して投資家が継続的に負担する費用。,投資信託の運用・管理に対して投資家が継続的に負担する費用。,,,B,信託報酬が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,信託報酬は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
ETF（上場投資信託）,金融資産運用,FP2級;用語,証券取引所に上場し株式と同様に売買できる投資信託。,証券取引所に上場され、株式と同様にリアルタイムで売買できる投資信託。,,,B,ETF（上場投資信託）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,ETF（上場投資信託）は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
NISA（少額投資非課税制度）,金融資産運用,FP2級;用語,一定額までの投資から得た利益・配当が非課税になる制度。成長投資枠と積立投資枠の2種類がある。,一定額までの投資から得た利益・配当が非課税になる制度。成長投資枠と積立投資枠の2種類がある。,,,A,NISA（少額投資非課税制度）が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,NISA（少額投資非課税制度）は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
新NISA,金融資産運用,FP2級;用語,2024年から始まった恒久化されたNISA制度。年間360万円・生涯1800万円まで非課税枠がある。,2024年から始まった恒久化されたNISA制度。年間360万円・生涯1800万円まで非課税枠がある。,,,B,新NISAが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,新NISAは金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
外貨預金,金融資産運用,FP2級;用語,外国通貨で預け入れる預金。為替変動リスクがあり、預金保険の対象外。,外国通貨で預け入れる預金。為替変動リスクがあり、預金保険の対象外。,,,B,外貨預金が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,外貨預金は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
為替レート,金融資産運用,FP2級;用語,異なる通貨を交換する際の比率（レート）。,異なる通貨を交換する際の比率（レート）。,,,A,為替レートが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,為替レートは金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
ポートフォリオ,金融資産運用,FP2級;用語,複数の資産を組み合わせた投資の全体構成。分散投資によりリスクを低減する。,複数の資産を組み合わせた投資の全体構成。分散投資によりリスクを低減する。,,,A,ポートフォリオが出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,ポートフォリオは金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
分散投資,金融資産運用,FP2級;用語,複数の資産・地域・時間に分けて投資することでリスクを軽減する方法。,複数の資産・地域・時間に分けて投資することでリスクを軽減する方法。,,,B,分散投資が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,分散投資は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
金融商品取引法,金融資産運用,FP2級;用語,有価証券・デリバティブ等の取引を規制し投資家を保護する法律。,有価証券・デリバティブ等の取引を規制し投資家を保護する法律。,,,B,金融商品取引法が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科では金融資産運用分野の計算・制度理解とセットで確認してください。,,,,金融商品取引法は金融資産運用分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
所得税,タックスプランニング,FP2級;用語,個人の所得に対して課される国税。1月1日から12月31日の暦年単位で課税される。,個人の所得に対して課される国税。1月1日から12月31日の暦年単位で課税される。,,,A,所得税が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,所得税はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
源泉徴収,タックスプランニング,FP2級;用語,給与・利子・配当などの支払い時に、支払者が税金をあらかじめ差し引いて国に納付する制度。,給与・利子・配当などの支払い時に、支払者が税金をあらかじめ差し引いて国に納付する制度。,,,A,源泉徴収が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,源泉徴収はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
年末調整,タックスプランニング,FP2級;用語,給与所得者について、1年間の所得税を会社が精算する手続き。多くの場合、確定申告は不要になる。,給与所得者について、1年間の所得税を会社が精算する手続き。多くの場合、確定申告は不要になる。,,,A,年末調整が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,年末調整はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
確定申告,タックスプランニング,FP2級;用語,1月1日から12月31日の所得と税額を翌年2月16日〜3月15日に税務署に申告する手続き。,1月1日から12月31日の所得と税額を翌年2月16日〜3月15日に税務署に申告する手続き。,,,A,確定申告が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,確定申告はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
給与所得,タックスプランニング,FP2級;用語,会社員が勤務先から受け取る給与・賞与に関する所得。給与収入から給与所得控除を差し引いて求める。,会社員が勤務先から受け取る給与・賞与に関する所得。給与収入から給与所得控除を差し引いて求める。,,,A,給与所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,給与所得はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
事業所得,タックスプランニング,FP2級;用語,個人が営む事業から生じる所得。収入から必要経費を差し引いて求める。,個人が営む事業から生じる所得。収入から必要経費を差し引いて求める。,,,A,事業所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,事業所得はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
不動産所得,タックスプランニング,FP2級;用語,土地・建物の貸付から生じる所得。収入から必要経費を差し引いて求める。,土地・建物の貸付から生じる所得。収入から必要経費を差し引いて求める。,,,A,不動産所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,不動産所得はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
配当所得,タックスプランニング,FP2級;用語,株式等の配当から生じる所得。申告分離課税・総合課税・申告不要を選択できる場合がある。,株式等の配当から生じる所得。申告分離課税・総合課税・申告不要を選択できる場合がある。,,,A,配当所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,配当所得はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
一時所得,タックスプランニング,FP2級;用語,懸賞・生命保険の満期金など、偶発的・一時的な所得。総収入から費用と50万円の特別控除を差し引く。,懸賞・生命保険の満期金など、偶発的・一時的な所得。総収入から費用と50万円の特別控除を差し引く。,,,A,一時所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,一時所得はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
雑所得,タックスプランニング,FP2級;用語,他の所得区分に該当しない所得。公的年金・副業収入などが該当する。,他の所得区分に該当しない所得。公的年金・副業収入などが該当する。,,,A,雑所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,雑所得はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
退職所得,タックスプランニング,FP2級;用語,退職金・確定拠出年金の一時受取などから生じる所得。退職所得控除があり税負担が軽い。,退職金・確定拠出年金の一時受取などから生じる所得。退職所得控除があり税負担が軽い。,,,A,退職所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,退職所得はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
譲渡所得,タックスプランニング,FP2級;用語,土地・建物・株式等の資産の譲渡から生じる所得。保有期間によって税率が異なる。,土地・建物・株式等の資産の譲渡から生じる所得。保有期間によって税率が異なる。,,,A,譲渡所得が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,譲渡所得はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
所得控除,タックスプランニング,FP2級;用語,所得税を計算する際に課税所得から差し引ける控除。基礎控除・配偶者控除・扶養控除など14種類ある。,所得税を計算する際に課税所得から差し引ける控除。基礎控除・配偶者控除・扶養控除など14種類ある。,,,A,所得控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,所得控除はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
基礎控除,タックスプランニング,FP2級;用語,すべての納税者に認められる控除。合計所得金額2400万円以下なら48万円、以降段階的に減少する。,すべての納税者に認められる控除。合計所得金額2400万円以下なら48万円、以降段階的に減少する。,,,A,基礎控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,基礎控除はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
配偶者控除,タックスプランニング,FP2級;用語,合計所得金額48万円以下の配偶者がいる場合に受けられる控除。,配偶者の合計所得金額が48万円以下の場合に受けられる所得控除（最大38万円）。,,,A,配偶者控除が出る問題では、定義の言い換え・数値や期限の条件・似た用語との違いが問われやすいです。FP2級学科ではタックスプランニング分野の計算・制度理解とセットで確認してください。,,,,配偶者控除はタックスプランニング分野でFP2級学科に出題されやすい;四択では定義の言い換え・数値・例外の区別が問われやすい,,,,,,,,,,,,,,,,,,,draft
