term,category,short_def,tier,importance,fp2_past_hits,fp3_past_hits,audit_note
軽減税率の特例（居住用財産）,不動産,所有期間10年超のマイホームを売却した場合に適用される譲渡所得の軽減税率。,A,A,3,0,FP2学科過去問に3回出現
不動産の賃貸借,不動産,貸主と借主の間で不動産を使用・収益させる契約。借地借家法が適用される。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
相続,相続・事業承継,人が死亡した際に、その財産・権利・義務を一定の親族が引き継ぐこと。,A,A,110,124,FP2学科過去問に110回出現
被相続人,相続・事業承継,亡くなった人（財産を残した人）。,A,A,21,11,FP2学科過去問に21回出現
相続人,相続・事業承継,財産を引き継ぐ人。民法で定められた法定相続人と、遺言で指定された受遺者がいる。,A,A,46,42,FP2学科過去問に46回出現
法定相続人,相続・事業承継,民法が定める相続権を持つ親族。配偶者・子・直系尊属・兄弟姉妹の順位がある。,A,A,4,4,FP2学科過去問に4回出現
法定相続分,相続・事業承継,民法が定める各相続人の相続割合。,A,A,8,9,FP2学科過去問に8回出現
代襲相続,相続・事業承継,相続人が被相続人より先に死亡していた場合に、その子（孫など）が代わりに相続すること。,A,B,2,3,FP2学科過去問に2回出現
相続放棄,相続・事業承継,相続人が相続する権利をすべて放棄すること。家庭裁判所に3か月以内に申述する。,A,B,0,4,FP3過去問に4回（FP2未出）
限定承認,相続・事業承継,プラスの財産の範囲内でのみ負債を引き受ける相続の方法。相続人全員で申述する必要がある。,A,B,2,0,FP2学科過去問に2回出現
遺言,相続・事業承継,被相続人が生前に自分の財産の処分等について意思表示しておく法律行為。,A,A,12,0,FP2学科過去問に12回出現
自筆証書遺言,相続・事業承継,全文・日付・氏名を自書し押印した遺言書。財産目録はパソコン作成も可。,A,A,3,0,FP2学科過去問に3回出現
公正証書遺言,相続・事業承継,公証人が作成する遺言書。証人2名以上が必要。改ざんのリスクが低く最も確実。,A,B,2,0,FP2学科過去問に2回出現
秘密証書遺言,相続・事業承継,内容を秘密にしたまま存在だけを公証人に証明してもらう遺言書。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
遺留分,相続・事業承継,一定の相続人（配偶者・子・直系尊属）に保障された最低限の相続分。,A,B,0,0,FP2学科範囲の中核語（シラバス）
遺留分侵害額請求,相続・事業承継,遺留分を侵害する贈与や遺贈に対して、遺留分権利者が金銭の支払いを請求できる権利。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
相続財産,相続・事業承継,相続の対象となるプラスの財産（預金・不動産等）とマイナスの財産（借金等）の総体。,A,B,0,2,FP3過去問に2回（FP2未出）
みなし相続財産,相続・事業承継,民法上は相続財産ではないが、相続税の課税対象となる財産。生命保険金・死亡退職金などが該当。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
生命保険金の非課税枠,相続・事業承継,相続人が受け取った生命保険金のうち「500万円×法定相続人の数」が相続税の課税対象外となる。,A,B,0,0,FP2学科範囲の中核語（シラバス）
退職手当金の非課税枠,相続・事業承継,相続人が受け取った死亡退職金のうち「500万円×法定相続人の数」が相続税の課税対象外となる。,A,B,0,0,FP2学科範囲の中核語（シラバス）
相続税の基礎控除,相続・事業承継,相続税の課税遺産総額から差し引ける控除。「3000万円＋600万円×法定相続人の数」が基本控除額となる。,A,B,0,2,FP2学科範囲の中核語（シラバス）; FP3過去問に2回
相続税の計算,相続・事業承継,課税遺産総額を法定相続分で按分し、各相続税率を掛けた後に合算し、実際の取得割合で按分して各人の税額を求める。,A,B,1,1,FP2学科過去問に1回出現
小規模宅地等の特例,相続・事業承継,被相続人の居住・事業用の宅地について、一定要件を満たす相続人が取得した場合に評価額を最大80%減額できる特例。,A,B,0,5,FP2学科範囲の中核語（シラバス）; FP3過去問に5回
贈与,相続・事業承継,生前に財産を無償で他者に渡す法律行為。書面・口頭を問わず双方の意思表示で成立する。,A,A,45,30,FP2学科過去問に45回出現
暦年贈与,相続・事業承継,1月1日から12月31日の1年間に受け取った贈与の合計が110万円を超えた場合に贈与税が課される通常の贈与。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
贈与税の基礎控除,相続・事業承継,贈与税の計算で1年間に受け取った贈与から差し引ける110万円の控除。,A,B,0,0,FP2学科範囲の中核語（シラバス）
相続時精算課税制度,相続・事業承継,60歳以上の親・祖父母から18歳以上の子・孫への贈与に適用できる制度。2500万円まで非課税、超過分は20%の税率で精算課税される。,A,B,1,0,FP2学科過去問に1回出現
教育資金の一括贈与の非課税特例,相続・事業承継,祖父母等から30歳未満の孫等への教育資金の一括贈与について1500万円まで非課税とする特例。,A,B,0,0,FP2学科範囲の中核語（シラバス）
結婚・子育て資金の一括贈与の非課税特例,相続・事業承継,祖父母等から18歳以上50歳未満の子・孫への結婚・子育て資金の贈与について1000万円まで非課税とする特例。,A,B,0,0,FP2学科範囲の中核語（シラバス）
配偶者への居住用不動産の贈与,相続・事業承継,婚姻期間20年以上の配偶者に居住用不動産または購入資金を贈与する場合、2000万円までの控除などの特例がある。,A,B,0,0,FP2学科範囲の中核語（シラバス）
事業承継,相続・事業承継,経営者が後継者に会社・事業を引き継ぐこと。株式・財産・経営権の移転を含む。,A,B,1,0,FP2学科過去問に1回出現
事業承継税制,相続・事業承継,後継者が取得した非上場株式等に係る贈与税・相続税を一定要件下で猶予・免除する制度。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
成年後見制度（相続関連）,相続・事業承継,認知症等で判断能力が低下した場合に、後見人が財産管理・法律行為を代理する制度。相続手続きにも関係する。,C,C,0,0,「成年後見制度」の副次エントリ
課税標準,タックスプランニング,所得税・住民税などで税率を乗じる対象となる所得額・評価額。,A,A,3,0,FP2学科過去問に3回出現
区分所有法,不動産,マンション等の区分所有に関する法律。管理組合・規約・修繕等が試験論点。,A,B,0,6,FP3過去問に6回（FP2未出）
準防火地域,不動産,都市計画法上の防火・準防火地域の一種。建蔽率・容積率の緩和要件とセットで問われる。,A,B,1,0,FP2学科過去問に1回出現
耐火建築物,不動産,建築基準法上の耐火性能を有する建築物。防火・準防火地域内の建蔽率制限と関連。,A,B,1,0,FP2学科過去問に1回出現
公的年金の裁定請求,ライフプランニングと資金計画,老齢・障害・遺族年金等の支給開始手続。FPの関連法規問題で論点になる。,A,B,1,0,FP2学科過去問に1回出現
